nose_X,nose_Y,left_eye_X,left_eye_Y,right_eye_X,right_eye_Y,left_ear_X,left_ear_Y,right_ear_X,right_ear_Y,left_shoulder_X,left_shoulder_Y,right_shoulder_X,right_shoulder_Y,left_elbow_X,left_elbow_Y,right_elbow_X,right_elbow_Y,left_wrist_X,left_wrist_Y,right_wrist_X,right_wrist_Y,left_hip_X,left_hip_Y,right_hip_X,right_hip_Y,left_knee_X,left_knee_Y,right_knee_X,right_knee_Y,left_ankle_X,left_ankle_Y,right_ankle_X,right_ankle_Y,targetPose
0.341086686,0.570150428,0.331273884,0.555245057,0.309369713,0.566189107,0.343422592,0.56621794,0.295440763,0.568755511,0.426180661,0.549372058,0.284673214,0.572887957,0.520694375,0.53871477,0.275775015,0.603021469,0.537417114,0.540988747,0.250197947,0.553232696,0.488758206,0.566874277,0.395312876,0.578045644,0.630878985,0.605850864,0.401731938,0.623849157,0.610594392,0.704228424,0.390983254,0.734044764,correctDown
0.351828977,0.54774293,0.34836422,0.547886318,0.336957346,0.552012049,0.35630499,0.553968999,0.326374906,0.559668055,0.439265045,0.547396094,0.332558255,0.570455615,0.51133548,0.562200558,0.285780606,0.6057695,0.537377005,0.540764816,0.251183931,0.55599991,0.488813686,0.568387897,0.40793148,0.576135153,0.63126945,0.60686689,0.397657503,0.629226062,0.61101008,0.706419278,0.390744659,0.731589986,correctDown
0.359670275,0.544233879,0.35802955,0.542435667,0.345985569,0.547605254,0.364973701,0.550082484,0.333871432,0.557613782,0.442697446,0.546019205,0.340975331,0.564839094,0.517478714,0.562521055,0.283505097,0.607156664,0.539342795,0.541302659,0.251277269,0.558185701,0.488552485,0.568819607,0.407750821,0.576405026,0.631222964,0.606957151,0.397895521,0.629170898,0.611048856,0.707150954,0.390583533,0.730257564,correctDown
0.369018949,0.543498104,0.366467656,0.543631858,0.353063495,0.548686893,0.37418923,0.550603306,0.341762976,0.558302159,0.446802989,0.545693928,0.344258852,0.564815269,0.522885364,0.562331764,0.283344989,0.607626724,0.538600241,0.542114073,0.250392657,0.557067174,0.489337108,0.568928217,0.407348535,0.576651019,0.632391739,0.606927582,0.397557496,0.628439073,0.610839493,0.707052399,0.39059361,0.729368623,correctDown
0.366903716,0.544179758,0.363547717,0.544764111,0.350652328,0.549817047,0.371427758,0.550806006,0.338993407,0.559260348,0.448943074,0.546452201,0.339106594,0.566306598,0.520085719,0.565065417,0.284251948,0.607108064,0.535753093,0.543650786,0.251163489,0.557840658,0.48783114,0.568556439,0.406762369,0.57623441,0.632559916,0.606967654,0.397244494,0.629157708,0.611274597,0.707410107,0.389967302,0.72992679,correctDown
0.3677286,0.544081954,0.365442874,0.544774093,0.351178228,0.551768537,0.373612225,0.551134069,0.341469696,0.559512338,0.449535055,0.547295381,0.34176408,0.565894638,0.520095589,0.565519129,0.28405459,0.606713723,0.536603492,0.543686093,0.250244519,0.556943571,0.491678562,0.569813815,0.407373938,0.576317227,0.632872725,0.606669585,0.396283094,0.63033654,0.610999014,0.70731379,0.390311188,0.72952743,correctDown
0.355530539,0.549729015,0.350057015,0.550491319,0.33876972,0.555906989,0.36409074,0.5518981,0.330388896,0.561597695,0.446062106,0.548026631,0.336043854,0.567364651,0.519708623,0.563424077,0.285426808,0.606859928,0.536974125,0.544180341,0.251378578,0.558879061,0.491858757,0.568993661,0.408315223,0.576039129,0.632524951,0.606837997,0.396851869,0.629109483,0.610170615,0.706864128,0.389966367,0.729928663,correctDown
0.361061655,0.546916042,0.359724679,0.546465883,0.347335658,0.550456139,0.370136481,0.551202754,0.334077828,0.559520745,0.445581099,0.548195613,0.336639088,0.56795065,0.517462118,0.562120746,0.284971319,0.606022606,0.537080675,0.542842336,0.252383578,0.558122,0.490958747,0.569276674,0.407388129,0.576814553,0.632697641,0.606673172,0.397964602,0.628377325,0.610519041,0.707694999,0.389857358,0.729703867,correctDown
0.355604428,0.549433893,0.350913441,0.549597889,0.33914741,0.554580203,0.365166748,0.551403115,0.32989182,0.560600347,0.444787967,0.548506335,0.335459027,0.567742535,0.520393619,0.563032242,0.28529236,0.606121949,0.539148576,0.543518612,0.252114035,0.558177433,0.490726898,0.568593582,0.407101384,0.576025773,0.633096445,0.606774192,0.399657724,0.626436541,0.609659198,0.706655388,0.389685126,0.729769862,correctDown
0.357010373,0.546539355,0.354943042,0.545420963,0.341420272,0.5499107,0.365828874,0.551439903,0.332231504,0.559862784,0.443431114,0.547185677,0.337509045,0.567312189,0.52199106,0.562213942,0.284033105,0.60565177,0.539890806,0.543817192,0.252460895,0.55747767,0.488935099,0.568897795,0.408158711,0.576009723,0.63284586,0.606485463,0.398145951,0.627864192,0.610387569,0.706929464,0.39007412,0.730051189,correctDown
